_id,Bulan,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
1,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,BATRA,2,26,28
2,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIGI,70,481,551
3,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,GIZI,1,7,8
4,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,KIA,133,711,844
5,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,LANSIA,12,401,413
6,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,PSIKOLOGI,2,5,7
7,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,SANITASI,1,0,1
8,Januari,Surabaya Barat,Asem Rowo,Puskesmas Asemrowo,UMUM,465,2686,3151
9,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,BATRA,1,36,37
10,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIGI,37,282,319
11,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,GIZI,3,15,18
12,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,KIA,74,343,417
13,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,LANSIA,13,308,321
14,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,PSIKOLOGI,3,9,12
15,Januari,Surabaya Selatan,Wiyung,Puskesmas Balas Klumprik,UMUM,217,1099,1316
16,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,BATRA,2,16,18
17,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,GIGI,39,454,493
18,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,GIZI,0,5,5
19,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,INSTALASI GAWAT DARURAT,13,11,24
20,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,KIA,133,664,797
21,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,LANSIA,11,529,540
22,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,P2M,1,46,47
23,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,PKPR,2,0,2
24,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,PSIKOLOGI,9,24,33
25,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,RAWAT INAP,0,1,1
26,Januari,Surabaya Barat,Tandes,Puskesmas Balongsari,UMUM,369,1969,2338
27,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,BATRA,1,66,67
28,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIGI,26,264,290
29,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,GIZI,0,8,8
30,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,HAMIL,7,74,81
31,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,KIA,36,422,458
32,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,LANSIA,5,216,221
33,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,PSIKOLOGI,13,21,34
34,Januari,Surabaya Barat,Lakarsantri,Puskesmas Bangkingan,UMUM,132,1314,1446
35,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,BATRA,0,11,11
36,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIGI,42,394,436
37,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,GIZI,0,4,4
38,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,INSTALASI GAWAT DARURAT,57,178,235
39,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,KIA,114,907,1021
40,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,LANSIA,33,876,909
41,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PARU,6,217,223
42,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PKPR,39,28,67
43,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,PSIKOLOGI,3,22,25
44,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,RAWAT INAP,2,16,18
45,Januari,Surabaya Selatan,Sawahan,Puskesmas Banyu Urip,UMUM,493,3154,3647
46,Januari,Surabaya Barat,Pakal,Puskesmas Benowo,BATRA,0,14,14
47,Januari,Surabaya Barat,Pakal,Puskesmas Benowo,GIGI,60,637,697
48,Januari,Surabaya Barat,Pakal,Puskesmas Benowo,GIZI,20,75,95
49,Januari,Surabaya Barat,Pakal,Puskesmas Benowo,INSTALASI GAWAT DARURAT,1,0,1
50,Januari,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,126,1000,1126
51,Januari,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,18,686,704
52,Januari,Surabaya Barat,Pakal,Puskesmas Benowo,PSIKOLOGI,1,6,7
53,Januari,Surabaya Barat,Pakal,Puskesmas Benowo,UMUM,425,2512,2937
54,Januari,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,BATRA,2,42,44
55,Januari,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIGI,44,598,642
56,Januari,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIZI,3,33,36
57,Januari,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,INSTALASI GAWAT DARURAT,2,5,7
58,Januari,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,KIA,156,1207,1363
59,Januari,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LANSIA,29,758,787
60,Januari,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PSIKOLOGI,0,5,5
61,Januari,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,RAWAT INAP,2,22,24
62,Januari,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,UMUM,365,2366,2731
63,Januari,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,BATRA,3,36,39
64,Januari,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIGI,37,209,246
65,Januari,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,0,7,7
66,Januari,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,127,581,708
67,Januari,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,28,594,622
68,Januari,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,27,17,44
69,Januari,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,416,2055,2471
70,Januari,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,VAKSIN D1,55,11,66
71,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,ANAK,131,557,688
72,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,1,43,44
73,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,64,485,549
74,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,139,127,266
75,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,64,327,391
76,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,47,913,960
77,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PARU,0,23,23
78,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,41,36,77
79,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,3,25,28
80,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,3,39,42
81,Januari,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,UMUM,858,3072,3930
82,Januari,Surabaya Utara,Krembangan,Puskesmas Dupak,BATRA,2,46,48
83,Januari,Surabaya Utara,Krembangan,Puskesmas Dupak,GIGI,31,354,385
84,Januari,Surabaya Utara,Krembangan,Puskesmas Dupak,GIZI,1,40,41
85,Januari,Surabaya Utara,Krembangan,Puskesmas Dupak,INSTALASI GAWAT DARURAT,59,74,133
86,Januari,Surabaya Utara,Krembangan,Puskesmas Dupak,KIA,118,747,865
87,Januari,Surabaya Utara,Krembangan,Puskesmas Dupak,LANSIA,10,555,565
88,Januari,Surabaya Utara,Krembangan,Puskesmas Dupak,PSIKOLOGI,2,18,20
89,Januari,Surabaya Utara,Krembangan,Puskesmas Dupak,RAWAT INAP,17,20,37
90,Januari,Surabaya Utara,Krembangan,Puskesmas Dupak,UMUM,194,2435,2629
91,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,ANAK,146,709,855
92,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,3,76,79
93,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,DEGENARATIF,1,133,134
94,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,83,573,656
95,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,48,75,123
96,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,INSTALASI GAWAT DARURAT,2,1,3
97,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,47,499,546
98,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,LANSIA,36,761,797
99,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,PARU,3,152,155
100,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,PSIKOLOGI,2,30,32
101,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,UMUM,1032,4236,5268
102,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,VAKSIN D1,0,2,2
103,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,BATRA,1,133,134
104,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIGI,39,732,771
105,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIZI,4,48,52
106,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,KIA,106,772,878
107,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,27,981,1008
108,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,3,31,34
109,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,524,2631,3155
110,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,BATRA,0,11,11
111,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIGI,11,357,368
112,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIZI,0,9,9
113,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,KIA,63,760,823
114,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,LANSIA,7,513,520
115,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,PARU,0,110,110
116,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,PSIKOLOGI,0,12,12
117,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,UMUM,124,2738,2862
118,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,BATRA,2,53,55
119,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIGI,52,395,447
120,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIZI,9,10,19
121,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,INSTALASI GAWAT DARURAT,13,10,23
122,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,KIA,127,594,721
123,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,LANSIA,20,720,740
124,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PKPR,24,38,62
125,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PSIKOLOGI,14,33,47
126,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,RAWAT INAP,1,1,2
127,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,SANITASI,1,0,1
128,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,UMUM,764,2709,3473
129,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,BATRA,1,50,51
130,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIGI,171,995,1166
131,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIZI,4,10,14
132,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,INSTALASI GAWAT DARURAT,40,31,71
133,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,KIA,230,1274,1504
134,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,LANSIA,33,1311,1344
135,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,PSIKOLOGI,6,23,29
136,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,RAWAT INAP,16,21,37
137,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,UMUM,662,3904,4566
138,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,BATRA,0,40,40
139,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIGI,38,285,323
140,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIZI,13,27,40
141,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,KIA,54,450,504
142,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,LANSIA,4,404,408
143,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,PSIKOLOGI,16,40,56
144,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,SANITASI,1,0,1
145,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,UMUM,256,1929,2185
146,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,BATRA,3,21,24
147,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIGI,57,257,314
148,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIZI,8,31,39
149,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,INSTALASI GAWAT DARURAT,4,1,5
150,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,KIA,40,206,246
151,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,LANSIA,8,330,338
152,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,PSIKOLOGI,7,22,29
153,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,UMUM,243,1995,2238
154,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,ANAK,26,277,303
155,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,BATRA,2,60,62
156,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIGI,55,305,360
157,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIZI,0,9,9
158,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,INSTALASI GAWAT DARURAT,1,0,1
159,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,KIA,74,316,390
160,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,LANSIA,21,426,447
161,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,P2M,0,34,34
162,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,PSIKOLOGI,1,1,2
163,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,UMUM,494,1831,2325
164,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,BATRA,3,102,105
165,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI,61,404,465
166,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI SPESIALIS ,2,456,458
167,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIZI,17,74,91
168,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,KIA,138,941,1079
169,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,LANSIA,16,864,880
170,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PARU,1,108,109
171,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PKPR,0,1,1
172,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PSIKOLOGI,23,67,90
173,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,UMUM,597,3271,3868
174,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,ANAK,53,478,531
175,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,BATRA,0,77,77
176,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIGI,42,348,390
177,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIZI,1,6,7
178,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,INSTALASI GAWAT DARURAT,56,109,165
179,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,KIA,81,503,584
180,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,LANSIA,21,647,668
181,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,MEDICAL CHECK UP,21,23,44
182,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,P2M,1,72,73
183,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,PSIKOLOGI,13,30,43
184,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,RAWAT INAP,3,4,7
185,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,UMUM,239,2463,2702
186,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,VAKSIN D1,251,557,808
187,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,BATRA,6,104,110
188,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIGI,23,404,427
189,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIZI,1,11,12
190,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,INSTALASI GAWAT DARURAT,2,0,2
